#,by_dimension_scorer_arm
scorer,dimension,arm,mean_score,n
combined,completeness,B,3.764,3
combined,completeness,L,4.069,3
combined,creativity,B,1.963,3
combined,creativity,L,2.762,3
combined,grounding,B,2.333,3
combined,grounding,L,3.0,3
combined,reasoning,B,3.806,3
combined,reasoning,L,4.0,3
combined,usefulness,B,3.361,3
combined,usefulness,L,3.778,3
cs,completeness,B,4.528,3
cs,completeness,L,4.472,3
cs,creativity,B,1.926,3
cs,creativity,L,1.857,3
cs,grounding,B,2.333,3
cs,grounding,L,3.0,3
cs,reasoning,B,4.611,3
cs,reasoning,L,4.333,3
cs,usefulness,B,4.722,3
cs,usefulness,L,4.556,3
operator,completeness,B,3.0,3
operator,completeness,L,3.667,3
operator,creativity,B,2.0,3
operator,creativity,L,3.667,3
operator,reasoning,B,3.0,3
operator,reasoning,L,3.667,3
operator,usefulness,B,2.0,3
operator,usefulness,L,3.0,3

#,by_dimension_scorer_arm_category
scorer,dimension,arm,category,mean_score,n
combined,completeness,B,1,4.333,1
combined,completeness,B,2,3.583,1
combined,completeness,B,3,3.375,1
combined,completeness,L,1,3.833,1
combined,completeness,L,2,4.125,1
combined,completeness,L,3,4.25,1
combined,creativity,B,1,2.541,1
combined,creativity,B,2,1.948,1
combined,creativity,B,3,1.4,1
combined,creativity,L,1,3.149,1
combined,creativity,L,2,2.243,1
combined,creativity,L,3,2.893,1
combined,grounding,B,1,2.0,1
combined,grounding,B,2,3.0,1
combined,grounding,B,3,2.0,1
combined,grounding,L,1,3.0,1
combined,grounding,L,2,2.0,1
combined,grounding,L,3,4.0,1
combined,reasoning,B,1,4.0,1
combined,reasoning,B,2,3.667,1
combined,reasoning,B,3,3.75,1
combined,reasoning,L,1,4.5,1
combined,reasoning,L,2,3.0,1
combined,reasoning,L,3,4.5,1
combined,usefulness,B,1,3.5,1
combined,usefulness,B,2,3.333,1
combined,usefulness,B,3,3.25,1
combined,usefulness,L,1,4.0,1
combined,usefulness,L,2,3.0,1
combined,usefulness,L,3,4.333,1
cs,completeness,B,1,4.667,1
cs,completeness,B,2,4.167,1
cs,completeness,B,3,4.75,1
cs,completeness,L,1,4.667,1
cs,completeness,L,2,4.25,1
cs,completeness,L,3,4.5,1
cs,creativity,B,1,2.082,1
cs,creativity,B,2,1.896,1
cs,creativity,B,3,1.8,1
cs,creativity,L,1,2.298,1
cs,creativity,L,2,1.486,1
cs,creativity,L,3,1.786,1
cs,grounding,B,1,2.0,1
cs,grounding,B,2,3.0,1
cs,grounding,B,3,2.0,1
cs,grounding,L,1,3.0,1
cs,grounding,L,2,2.0,1
cs,grounding,L,3,4.0,1
cs,reasoning,B,1,5.0,1
cs,reasoning,B,2,4.333,1
cs,reasoning,B,3,4.5,1
cs,reasoning,L,1,5.0,1
cs,reasoning,L,2,3.0,1
cs,reasoning,L,3,5.0,1
cs,usefulness,B,1,5.0,1
cs,usefulness,B,2,4.667,1
cs,usefulness,B,3,4.5,1
cs,usefulness,L,1,5.0,1
cs,usefulness,L,2,4.0,1
cs,usefulness,L,3,4.667,1
operator,completeness,B,1,4.0,1
operator,completeness,B,2,3.0,1
operator,completeness,B,3,2.0,1
operator,completeness,L,1,3.0,1
operator,completeness,L,2,4.0,1
operator,completeness,L,3,4.0,1
operator,creativity,B,1,3.0,1
operator,creativity,B,2,2.0,1
operator,creativity,B,3,1.0,1
operator,creativity,L,1,4.0,1
operator,creativity,L,2,3.0,1
operator,creativity,L,3,4.0,1
operator,reasoning,B,1,3.0,1
operator,reasoning,B,2,3.0,1
operator,reasoning,B,3,3.0,1
operator,reasoning,L,1,4.0,1
operator,reasoning,L,2,3.0,1
operator,reasoning,L,3,4.0,1
operator,usefulness,B,1,2.0,1
operator,usefulness,B,2,2.0,1
operator,usefulness,B,3,2.0,1
operator,usefulness,L,1,3.0,1
operator,usefulness,L,2,2.0,1
operator,usefulness,L,3,4.0,1

#,per_question_composite
scorer,question_id,arm,composite
cs,Q3,B,3.51
cs,Q_ERGO,L,3.993
cs,Q_ERGO,B,3.75
cs,Q2,L,2.947
cs,Q3,L,3.991
cs,Q2,B,3.613
combined,Q3,B,2.755
operator,Q3,B,1.6
combined,Q_ERGO,L,3.696
operator,Q_ERGO,L,2.8
combined,Q_ERGO,B,3.275
operator,Q_ERGO,B,2.4
combined,Q2,L,2.874
operator,Q2,L,2.4
combined,Q3,L,3.995
operator,Q3,L,3.2
combined,Q2,B,3.106
operator,Q2,B,2.0

#,endpoint (combined composite)
scorer,combined,is_interim_cs_only,False
mean_delta,0.476,k_wins,2,k_total,3,verdict,positive (won most; inspect the loss)
delta,Q2,-0.232
delta,Q3,1.24
delta,Q_ERGO,0.421
